Adj Close	Company Name	Date	记录数	Ticker
5.97	"Sourcefire"	2014-02-25 00:00:00.000	"1"	"FIRE"
5.78	"Sourcefire"	2014-02-26 00:00:00.000	"1"	"FIRE"
6.77	"Sourcefire"	2014-02-27 00:00:00.000	"1"	"FIRE"
6.56	"Sourcefire"	2014-03-02 00:00:00.000	"1"	"FIRE"
6.5	"Sourcefire"	2014-03-03 00:00:00.000	"1"	"FIRE"
6.59	"Sourcefire"	2014-03-04 00:00:00.000	"1"	"FIRE"
6.5	"Sourcefire"	2014-03-05 00:00:00.000	"1"	"FIRE"
6.63	"Sourcefire"	2014-03-06 00:00:00.000	"1"	"FIRE"
6.23	"Sourcefire"	2014-03-09 00:00:00.000	"1"	"FIRE"
6.71	"Sourcefire"	2014-03-10 00:00:00.000	"1"	"FIRE"
6.84	"Sourcefire"	2014-03-11 00:00:00.000	"1"	"FIRE"
7.36	"Sourcefire"	2014-03-12 00:00:00.000	"1"	"FIRE"
7.41	"Sourcefire"	2014-03-13 00:00:00.000	"1"	"FIRE"
6.94	"Sourcefire"	2014-03-16 00:00:00.000	"1"	"FIRE"
7.44	"Sourcefire"	2014-03-17 00:00:00.000	"1"	"FIRE"
7.47	"Sourcefire"	2014-03-18 00:00:00.000	"1"	"FIRE"
7.23	"Sourcefire"	2014-03-19 00:00:00.000	"1"	"FIRE"
7.18	"Sourcefire"	2014-03-20 00:00:00.000	"1"	"FIRE"
7.77	"Sourcefire"	2014-03-23 00:00:00.000	"1"	"FIRE"
7.41	"Sourcefire"	2014-03-24 00:00:00.000	"1"	"FIRE"
7.71	"Sourcefire"	2014-03-25 00:00:00.000	"1"	"FIRE"
7.94	"Sourcefire"	2014-03-26 00:00:00.000	"1"	"FIRE"
7.4	"Sourcefire"	2014-03-27 00:00:00.000	"1"	"FIRE"
7.28	"Sourcefire"	2014-03-30 00:00:00.000	"1"	"FIRE"
7.28	"Sourcefire"	2014-03-31 00:00:00.000	"1"	"FIRE"
7.52	"Sourcefire"	2014-04-01 00:00:00.000	"1"	"FIRE"
7.89	"Sourcefire"	2014-04-02 00:00:00.000	"1"	"FIRE"
7.89	"Sourcefire"	2014-04-03 00:00:00.000	"1"	"FIRE"
7.82	"Sourcefire"	2014-04-06 00:00:00.000	"1"	"FIRE"
7.8	"Sourcefire"	2014-04-07 00:00:00.000	"1"	"FIRE"
7.87	"Sourcefire"	2014-04-08 00:00:00.000	"1"	"FIRE"
8.2	"Sourcefire"	2014-04-09 00:00:00.000	"1"	"FIRE"
9.21	"Sourcefire"	2014-04-13 00:00:00.000	"1"	"FIRE"
9.2	"Sourcefire"	2014-04-14 00:00:00.000	"1"	"FIRE"
9.55	"Sourcefire"	2014-04-15 00:00:00.000	"1"	"FIRE"
9.9	"Sourcefire"	2014-04-16 00:00:00.000	"1"	"FIRE"
9.91	"Sourcefire"	2014-04-17 00:00:00.000	"1"	"FIRE"
9.97	"Sourcefire"	2014-04-20 00:00:00.000	"1"	"FIRE"
10.68	"Sourcefire"	2014-04-21 00:00:00.000	"1"	"FIRE"
10.48	"Sourcefire"	2014-04-22 00:00:00.000	"1"	"FIRE"
10.54	"Sourcefire"	2014-04-23 00:00:00.000	"1"	"FIRE"
11.08	"Sourcefire"	2014-04-24 00:00:00.000	"1"	"FIRE"
10.75	"Sourcefire"	2014-04-27 00:00:00.000	"1"	"FIRE"
11.04	"Sourcefire"	2014-04-28 00:00:00.000	"1"	"FIRE"
11	"Sourcefire"	2014-04-29 00:00:00.000	"1"	"FIRE"
10.83	"Sourcefire"	2014-04-30 00:00:00.000	"1"	"FIRE"
11.9	"Sourcefire"	2014-05-01 00:00:00.000	"1"	"FIRE"
12.05	"Sourcefire"	2014-05-04 00:00:00.000	"1"	"FIRE"
11.89	"Sourcefire"	2014-05-05 00:00:00.000	"1"	"FIRE"
11.8	"Sourcefire"	2014-05-06 00:00:00.000	"1"	"FIRE"
11.56	"Sourcefire"	2014-05-07 00:00:00.000	"1"	"FIRE"
11.7	"Sourcefire"	2014-05-08 00:00:00.000	"1"	"FIRE"
11.34	"Sourcefire"	2014-05-11 00:00:00.000	"1"	"FIRE"
10.95	"Sourcefire"	2014-05-12 00:00:00.000	"1"	"FIRE"
10.91	"Sourcefire"	2014-05-13 00:00:00.000	"1"	"FIRE"
10.25	"Sourcefire"	2014-05-14 00:00:00.000	"1"	"FIRE"
10.55	"Sourcefire"	2014-05-15 00:00:00.000	"1"	"FIRE"
11.34	"Sourcefire"	2014-05-18 00:00:00.000	"1"	"FIRE"
